Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Signal,Position
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,
Date,,,,,,,,,
2023-08-29,48.748531341552734,49.04531628812588,46.35726964870884,46.632071231077255,701397000,44.753190422058104,44.293974533081055,1.0,1.0
2023-08-30,49.22818374633789,49.89069992908974,48.38979301948212,49.008342472169936,735206000,45.00275840759277,44.403015213012694,1.0,1.0
2023-08-31,49.319122314453125,49.70783948086103,48.922411542832535,49.34410566617648,528570000,45.24458274841309,44.52912353515625,1.0,1.0
2023-09-01,48.47373580932617,49.763797697596935,48.107002016363225,49.72582712049024,463830000,45.43589344024658,44.638723831176755,1.0,1.0
2023-09-05,48.51271057128906,48.81549172198567,47.825210956107306,48.18794605289678,382653000,45.592329788208005,44.765411834716794,1.0,1.0
2023-09-06,47.03065872192383,48.5176983121161,46.54996984821671,48.409770048373865,468670000,45.712286376953124,44.89397590637207,1.0,1.0
2023-09-07,46.21119689941406,46.31413115212792,45.122898103314355,45.49565878737646,433330000,45.89669303894043,44.98128875732422,1.0,1.0
2023-09-08,45.54262161254883,46.575955463730146,45.241816956969146,45.912385845022,473069000,46.05596485137939,45.07039901733398,1.0,1.0
2023-09-11,45.14888000488281,46.1332418790325,44.283437093528,46.118252157877485,473966000,46.27214393615723,45.15753021240234,1.0,1.0
2023-09-12,44.841068267822266,45.643551923371255,44.502286142152805,44.709153407474325,349256000,46.328137969970705,45.20892669677735,1.0,1.0
2023-09-13,45.45567321777344,45.9003859898633,44.47430412568911,44.571241704929434,398355000,46.40551891326904,45.270396881103515,1.0,1.0
2023-09-14,45.55162048339844,45.95735701328926,45.101909783891045,45.92038211332298,370097000,46.51038074493408,45.335704498291015,1.0,1.0
2023-09-15,43.87169647216797,45.56959852066616,43.779752923471165,45.31176544872774,506831000,46.53834114074707,45.37169059753418,1.0,1.0
2023-09-18,43.937652587890625,44.21347561321812,41.97292056005233,42.7204393860463,500271000,46.571847915649414,45.40100173950195,1.0,1.0
2023-09-19,43.491947174072266,43.93765882554462,42.97427952494741,43.80474513769536,373064000,46.3998025894165,45.427853927612304,1.0,1.0
2023-09-20,42.211769104003906,43.874697872716084,42.1957805773011,43.571891798323115,367108000,46.228651237487796,45.42460586547852,1.0,1.0
2023-09-21,40.99055480957031,42.0728567871405,40.953579913724376,41.55619180268766,450736000,45.924091529846194,45.36701538085938,1.0,1.0
2023-09-22,41.58317565917969,42.087851165439716,41.204418374834624,41.54519814398996,479236000,45.6468147277832,45.27980735778809,1.0,1.0
